Constraint,HLI,HLII,LLI,LLII_LLIII,LLIV
Plb,0.0206,0.0206,0.05262,0.04542,0.08893
Pub,0.0706,0.0985,0.1267,0.1115,0.1989
Rlb,0.060605071,0.11,0.77,0.79,0.48
Rub,0.19,0.62,2.49,1.97,2.06
clb_DNA,0.018932754,0.018932754,0.018932754,0.018932754,0.018932754
clb_Lipid,0.093121611,0.093121611,0.093121611,0.093121611,0.093121611
clb_Carbohydrate,0.135591941,0.135591941,0.135591941,0.135591941,0.135591941
clb_Protein,0.42,0.42,0.42,0.42,0.42
clb_VitaCofactors,0.013828278,0.013828278,0.020367627,0.020367627,0.020367627
clb_RNA,0.008089199,0.008089199,0.008089199,0.008089199,0.008089199
clb_NB,0.000476837,0.000476837,0.000702332,0.000702332,0.000702332
clb_Ions,0.011444092,0.011444092,0.016855967,0.016855967,0.016855967
clb_BioPool,0.004291534,0.004291534,0.006320988,0.006320988,0.006320988
clb_Pigments,0.000610352,0.000610352,0.000790123,0.000790123,0.000790123
clb_CellWall,0.030517578,0.030517578,0.039506173,0.039506173,0.039506173
clb_Divinylchlorophyll_a,0.012,0.012,0.0229,0.0216,0.044
clb_Divinylchlorophyll_b,0.0019,0.0019,0.0184,0.0125,0.032
clb_alpha_Carotene,0.0026,0.0026,0.00353,0.00353,0.00353
clb_Zeaxanthin,0.0041,0.0041,0.00779,0.00779,0.0094
cub_DNA,0.037267161,0.037267161,0.037267161,0.037267161,0.037267161
cub_Lipid,0.199264179,0.199264179,0.199264179,0.199264179,0.199264179
cub_Carbohydrate,0.431820066,0.431820066,0.431820066,0.431820066,0.431820066
cub_Protein,0.51,0.51,0.51,0.51,0.51
cub_VitaCofactors,0.056640625,0.056640625,0.087397805,0.087397805,0.087397805
cub_RNA,0.045004327,0.045004327,0.045004327,0.045004327,0.045004327
cub_NB,0.001953125,0.001953125,0.003013717,0.003013717,0.003013717
cub_Ions,0.046875,0.046875,0.072329218,0.072329218,0.072329218
cub_BioPool,0.017578125,0.017578125,0.027123457,0.027123457,0.027123457
cub_Pigments,0.0015625,0.0015625,0.00208642,0.00208642,0.00208642
cub_CellWall,0.078125,0.078125,0.104320988,0.104320988,0.104320988
cub_Divinylchlorophyll_a,0.0355,0.047,0.0429,0.0417,0.0719
cub_Divinylchlorophyll_b,0.0126,0.029,0.057,0.043,0.09
cub_alpha_Carotene,0.0079,0.0079,0.0146,0.0146,0.022
cub_Zeaxanthin,0.0146,0.0146,0.0122,0.0122,0.015